Global Company Key (Gvkey),Ticker Symbol,CIK Number,Company Name
1045,AAL,6201,AMERICAN AIRLINES GROUP INC
1075,PNW,764622,PINNACLE WEST CAPITAL CORP
1078,ABT,1800,ABBOTT LABORATORIES
1161,AMD,2488,ADVANCED MICRO DEVICES
1209,APD,2969,AIR PRODUCTS & CHEMICALS INC
1230,ALK,766421,ALASKA AIR GROUP INC
1300,HON,773840,HONEYWELL INTERNATIONAL INC
1327,SWKS,4127,SKYWORKS SOLUTIONS INC
1380,HES,4447,HESS CORP
1440,AEP,4904,AMERICAN ELECTRIC POWER CO
1447,AXP,4962,AMERICAN EXPRESS CO
1449,AFL,4977,AFLAC INC
1487,AIG,5272,AMERICAN INTERNATIONAL GROUP
1598,AME,1037868,AMETEK INC
1602,AMGN,318154,AMGEN INC
1632,ADI,6281,ANALOG DEVICES
1678,APA,6769,APACHE CORP
1690,AAPL,320193,APPLE INC
1704,AMAT,6951,APPLIED MATERIALS INC
1722,ADM,7084,ARCHER-DANIELS-MIDLAND CO
1878,ADSK,769397,AUTODESK INC
1891,ADP,8670,AUTOMATIC DATA PROCESSING
1913,AVY,8818,AVERY DENNISON CORP
1988,BLL,9389,BALL CORP
2019,BK,1390777,BANK OF NEW YORK MELLON CORP
2086,BAX,10456,BAXTER INTERNATIONAL INC
2111,BDX,10795,BECTON DICKINSON & CO
2136,VZ,732712,VERIZON COMMUNICATIONS INC
2184,BBY,764478,BEST BUY CO INC
2269,HRB,12659,BLOCK H & R INC
2285,BA,12927,BOEING CO
2312,RHI,315213,ROBERT HALF INTL INC
2403,BMY,14272,BRISTOL-MYERS SQUIBB CO
2435,BF.B,14693,BROWN FORMAN CORP
2547,CI,1739940,CIGNA CORP
2574,CSX,277948,CSX CORP
2663,CPB,16732,CAMPBELL SOUP CO
2710,STZ,16918,CONSTELLATION BRANDS
2751,CAH,721371,CARDINAL HEALTH INC
2817,CAT,18230,CATERPILLAR INC
2884,CTL,18926,CENTURYLINK INC
2968,JPM,19617,JPMORGAN CHASE & CO
2991,CVX,93410,CHEVRON CORP
3026,CHD,313927,CHURCH & DWIGHT INC
3062,CTAS,723254,CINTAS CORP
3121,CLX,21076,CLOROX CO/DE
3144,KO,21344,COCA-COLA CO
3170,CL,21665,COLGATE-PALMOLIVE CO
3221,AON,315293,AON PLC
3226,CMCSA,1166691,COMCAST CORP
3231,CMA,28412,COMERICA INC
3243,C,831001,CITIGROUP INC
3310,CA,356028,CA INC
3336,DXC,1688568,DXC TECHNOLOGY CO
3362,CAG,23217,CONAGRA BRANDS INC
3413,ED,1047862,CONSOLIDATED EDISON INC
3439,CMS,811156,CMS ENERGY CORP
3504,COO,711404,COOPER COS INC (THE)
3505,TAP,24545,MOLSON COORS BEVERAGE CO
3532,GLW,24741,CORNING INC
3650,CMI,26172,CUMMINS INC
3735,DHR,313616,DANAHER CORP
3813,TGT,27419,TARGET CORP
3835,DE,315189,DEERE & CO
3851,DAL,27904,DELTA AIR LINES INC
3897,DTE,936340,DTE ENERGY CO
3980,DIS,1744489,DISNEY (WALT) CO
4016,DG,29534,DOLLAR GENERAL CORP
4029,D,715957,DOMINION ENERGY INC
4058,DOV,29905,DOVER CORP
4066,OMC,29989,OMNICOM GROUP
4093,DUK,1326160,DUKE ENERGY CORP
4108,FLS,30625,FLOWSERVE CORP
4145,PKI,31791,PERKINELMER INC
4199,ETN,1551182,EATON CORP PLC
4213,ECL,31462,ECOLAB INC
4321,EMR,32604,EMERSON ELECTRIC CO
4423,EFX,33185,EQUIFAX INC
4430,EQT,33213,EQT CORP
4494,EXPD,746515,EXPEDITORS INTL WASH INC
4503,XOM,34088,EXXON MOBIL CORP
4510,FMC,37785,FMC CORP
4517,NEE,753308,NEXTERA ENERGY INC
4598,FDX,1048911,FEDEX CORP
4605,FRT,34903,FEDERAL REALTY INVESTMENT TR
4611,M,794367,MACY'S INC
4640,FITB,35527,FIFTH THIRD BANCORP
4674,RF,1281761,REGIONS FINANCIAL CORP
4699,MTB,36270,M & T BANK CORP
4723,USB,36104,U S BANCORP
4818,FLR,1124198,FLUOR CORP
4839,F,37996,FORD MOTOR CO
4885,BEN,38777,FRANKLIN RESOURCES INC
4973,AJG,354190,ARTHUR J GALLAGHER & CO
4990,GPS,39911,GAP INC
5046,GD,40533,GENERAL DYNAMICS CORP
5047,GE,40545,GENERAL ELECTRIC CO
5071,GIS,40704,GENERAL MILLS INC
5073,GM,1467858,GENERAL MOTORS CO
5125,GPC,40987,GENUINE PARTS CO
5234,GT,42582,GOODYEAR TIRE & RUBBER CO
5256,GWW,277135,GRAINGER (W W) INC
5439,HAL,45012,HALLIBURTON CO
5518,HAS,46080,HASBRO INC
5543,WELL,766704,WELLTOWER INC
5568,KHC,1637459,KRAFT HEINZ CO
5581,HP,46765,HELMERICH & PAYNE
5597,HSY,47111,HERSHEY CO
5606,HPQ,47217,HP INC
5643,HLT,1585689,HILTON WORLDWIDE HOLDINGS
5680,HD,354950,HOME DEPOT INC
5709,HRL,48465,HORMEL FOODS CORP
5742,CNP,1130310,CENTERPOINT ENERGY INC
5783,JBHT,728535,HUNT (JB) TRANSPRT SVCS INC
5786,HBAN,49196,HUNTINGTON BANCSHARES
5878,ITW,49826,ILLINOIS TOOL WORKS
6008,INTC,50863,INTEL CORP
6066,IBM,51143,INTL BUSINESS MACHINES CORP
6078,IFF,51253,INTL FLAVORS & FRAGRANCES
6104,IP,51434,INTL PAPER CO
6136,IPG,51644,INTERPUBLIC GROUP OF COS
6266,JNJ,200406,JOHNSON & JOHNSON
6268,JCI,833444,JOHNSON CONTROLS INTL PLC
6304,KLAC,319201,KLA CORP
6310,KMI,1506307,KINDER MORGAN INC
6335,KSU,54480,KANSAS CITY SOUTHERN
6375,K,55067,KELLOGG CO
6435,KMB,55785,KIMBERLY-CLARK CORP
6502,KR,56873,KROGER CO
6565,LRCX,707549,LAM RESEARCH CORP
6649,LEG,58492,LEGGETT & PLATT INC
6669,LEN,920760,LENNAR CORP
6682,JEF,96223,JEFFERIES FINANCIAL GRP INC
6730,LLY,59478,LILLY (ELI) & CO
6733,LB,701985,L BRANDS INC
6742,LNC,59558,LINCOLN NATIONAL CORP
6774,LMT,936468,LOCKHEED MARTIN CORP
6781,L,60086,LOEWS CORP
6788,RRC,315852,RANGE RESOURCES CORP
6829,LOW,60667,LOWE'S COS INC
7017,MRO,101778,MARATHON OIL CORP
7063,HST,1070750,HOST HOTELS & RESORTS INC
7065,MMC,62709,MARSH & MCLENNAN COS
7085,MAS,62996,MASCO CORP
7116,MAT,63276,MATTEL INC
7146,MKC,63754,MCCORMICK & CO INC
7154,MCD,63908,MCDONALD'S CORP
7163,SPGI,64040,S&P GLOBAL INC
7171,MCK,927653,MCKESSON CORP
7228,MDT,1613103,MEDTRONIC PLC
7241,CVS,64803,CVS HEALTH CORP
7257,MRK,310158,MERCK & CO
7343,MU,723125,MICRON TECHNOLOGY INC
7366,ETR,65984,ENTERGY CORP
7435,MMM,66740,3M CO
7585,MSI,68505,MOTOROLA SOLUTIONS INC
7637,MYL,1623613,MYLAN NV
7647,BAC,70858,BANK OF AMERICA CORP
7875,NWL,814453,NEWELL BRANDS INC
7881,NEM,1164727,NEWMONT CORP
7906,NKE,320187,NIKE INC  -CL B
7912,NBL,72207,NOBLE ENERGY INC
7922,JWN,72333,NORDSTROM INC
7923,NSC,702165,NORFOLK SOUTHERN CORP
7970,ES,72741,EVERSOURCE ENERGY
7974,NI,1111711,NISOURCE INC
7977,XEL,72903,XCEL ENERGY INC
7982,NTRS,73124,NORTHERN TRUST CORP
7985,NOC,1133421,NORTHROP GRUMMAN CORP
8007,WFC,72971,WELLS FARGO & CO
8030,NUE,73309,NUCOR CORP
8068,OXY,797468,OCCIDENTAL PETROLEUM CORP
8099,FE,1031296,FIRSTENERGY CORP
8151,OKE,1039684,ONEOK INC
8245,PNC,713676,PNC FINANCIAL SVCS GROUP INC
8247,PPG,79879,PPG INDUSTRIES INC
8253,PCAR,75362,PACCAR INC
8264,PCG,1004980,PG&E CORP
8272,SRE,1032208,SEMPRA ENERGY
8358,PH,76334,PARKER-HANNIFIN CORP
8402,PAYX,723531,PAYCHEX INC
8455,PPL,922224,PPL CORP
8463,PNR,77360,PENTAIR PLC
8479,PEP,77476,PEPSICO INC
8530,PFE,78003,PFIZER INC
8539,EXC,1109357,EXELON CORP
8543,MO,764180,ALTRIA GROUP INC
8549,COP,1163165,CONOCOPHILLIPS
8551,PVH,78239,PVH CORP
8606,PBI,78814,PITNEY BOWES INC
8762,PG,80424,PROCTER & GAMBLE CO
8810,PEG,788784,PUBLIC SERVICE ENTRP GRP INC
8823,PHM,822416,PULTEGROUP INC
8898,RJF,720005,RAYMOND JAMES FINANCIAL CORP
8972,RTN,1047122,RAYTHEON CO
9203,ROK,1024478,ROCKWELL AUTOMATION
9248,ROST,745732,ROSS STORES INC
9465,SLB,87347,SCHLUMBERGER LTD
9555,SEE,1012100,SEALED AIR CORP
9667,SHW,89800,SHERWIN-WILLIAMS CO
9771,AOS,91142,SMITH (A.O.)
9777,SJM,91419,SMUCKER (JM) CO
9778,SNA,91440,SNAP-ON INC
9783,KEY,91576,KEYCORP
9846,EIX,827052,EDISON INTERNATIONAL
9850,SO,92122,SOUTHERN CO
9882,LUV,92380,SOUTHWEST AIRLINES
9899,T,732717,AT&T INC
10016,SWK,93556,STANLEY BLACK & DECKER INC
10035,STT,93751,STATE STREET CORP
10096,PSA,1393311,PUBLIC STORAGE
10115,SYK,310764,STRYKER CORP
10121,NAVI,1593538,NAVIENT CORP
10187,STI,750556,SUNTRUST BANKS INC
10247,SYY,96021,SYSCO CORP
10499,TXN,97476,TEXAS INSTRUMENTS INC
10519,TXT,217346,TEXTRON INC
10530,TMO,97745,THERMO FISHER SCIENTIFIC INC
10631,TSS,721683,TOTAL SYSTEM SERVICES INC
10793,TSN,100493,TYSON FOODS INC  -CL A
